"tag";"rule"
"Täglicher Bedarf";"text.contains('NIEMANN')"
"Täglicher Bedarf";"text.contains('ALDI')"
"Täglicher Bedarf";"text.contains('NETTO')"
"Täglicher Bedarf";"text.contains('REWE')"
"Täglicher Bedarf";"text.contains('ROSSMANN')"
"Täglicher Bedarf";"text.contains('DM-DROGERIE')"
"Täglicher Bedarf";"text.contains('APOTHEKE')"
"Täglicher Bedarf";"text.contains('STEINECKE')"
"Täglicher Bedarf";"text.contains('DITSCH')"
"Täglicher Bedarf";"text.contains('TKMAXX')"
"Täglicher Bedarf";"text.contains('MAEC GEIZ')"
"Täglicher Bedarf";"text.contains('OBI')"
"Abos";"text.contains('DISNEY PLUS')"
"Abos";"text.contains('HALM.CLUB')"
"Haus";"text.contains('WEG Idastr')"
"Haus";"text.contains('GASAG')"
"Auto";"text.contains('Nico Richter')"
"Auto";"text.contains('Q1 ENERGIE')"
"Auto";"text.contains('JET-TANKSTELLE')"
"Versicherung";"text.contains('ROLAND Rechtsschutz')"
"Versicherung";"text.contains('HUK-COBURG')"
"Steuer";"text.contains('Finanzamt')"
"Kinder";"text.contains('Pfefferwerk')"
"Kinder";"text.contains('Pfeffersport')"
"Kinder";"text.contains('Liane Bromme')"
"Kinder";"text.contains('HOLLAND-PARK')"
"Kinder";"text.contains('HOLLANDPARK')"
"Amazon / Ebay";"text.contains('AMZN')"
"Amazon / Ebay";"text.contains('EBAY')"
